en,es,en_text_length,en_num_words,en_max_word_length,en_avg_word_length,en_perc_special_chars,es_text_length,es_num_words,es_max_word_length,es_avg_word_length,es_perc_special_chars
Are you trying to say the books were faked?,¿Está tratando de decir que los libros eran falsos?,43.0,9.0,6.0,3.888888888888889,0.023255813953488372,51.0,9.0,8.0,4.777777777777778,0.0196078431372549
I swear to you I haven't done anything!,Te juro que no he hecho nada!,39.0,8.0,9.0,4.0,0.05128205128205128,29.0,7.0,5.0,3.2857142857142856,0.034482758620689655
He traded antiquities excavated from South American ruins.,Comerciaba con antigüedades sacadas de ruinas sudamericanas.,58.0,8.0,11.0,6.375,0.017241379310344827,60.0,7.0,14.0,7.714285714285714,0.016666666666666666
"Fishing vessels participating in the exploratory fisheries referred to in Article 46 shall implement Data Collection Plans, in each and all SSRUs in which FAO Sub-area 88.1 and Divisions 58.4.1 and 58.4.2 are divided.",Los buques de pesca que participen en las pesquerías exploratorias a que hace referencia el artículo 46 aplicarán los siguientes planes de recopilación de datos en cada una de las UIPE en las que están divididas la subzona 88.1 y las divisiones 58.4.1 y 58.4.2 de la FAO.,217.0,34.0,13.0,5.411764705882353,0.03686635944700461,271.0,48.0,13.0,4.666666666666667,0.02214022140221402
Meeting like theives.,"De que nos veamos así, como ladrones.",21.0,3.0,8.0,6.333333333333333,0.047619047619047616,37.0,7.0,9.0,4.428571428571429,0.05405405405405406
Question 6,Cuestión 6,10.0,2.0,8.0,4.5,0.0,10.0,2.0,8.0,4.5,0.0
"MACHINE BEEPS 'Get back to me, you bastard! You know what it's like...'","""Llámame, hijo de puta, sabes cómo es... """,71.0,13.0,8.0,4.538461538461538,0.11267605633802817,42.0,8.0,9.0,4.375,0.16666666666666666
"Statements relating to the organization of work were made at the 1st meeting by the Chairman and by the representatives of Indonesia, New Zealand, Fiji, Chile and the Syrian Arab Republic (see A/AC.109/1999/SR.1).","En la primera sesión formularon declaraciones sobre la organización de los trabajos el Presidente y los representantes de Indonesia, Nueva Zelandia, Fiji, Chile y la República Árabe Siria (véase A/AC.109/1999/SR.1).",213.0,33.0,20.0,5.484848484848484,0.051643192488262914,215.0,30.0,20.0,6.2,0.05116279069767442
- Pretty much like rabbits.,- Más o menos como conejos.,27.0,5.0,8.0,4.6,0.07407407407407407,27.0,6.0,8.0,3.6666666666666665,0.07407407407407407
"David, Segovia (8/2/2014)","David, Segovia (8/2/2014)",25.0,3.0,10.0,7.666666666666667,0.2,25.0,3.0,10.0,7.666666666666667,0.2
"Vinny's like, you know, I really wanna go in the jacuzzi.","Vinny estaba como, de verdad quiero ir al jacuzzi.",57.0,11.0,8.0,4.2727272727272725,0.07017543859649122,50.0,9.0,8.0,4.666666666666667,0.04
I will not have dope deals made in this house!,No aceptaré que hagas negocios con drogas en esta casa.,46.0,10.0,6.0,3.7,0.021739130434782608,55.0,10.0,8.0,4.6,0.01818181818181818
I have nothing to do with this!,¡No tengo nada que ver con esto!,31.0,7.0,7.0,3.5714285714285716,0.03225806451612903,32.0,7.0,5.0,3.7142857142857144,0.03125
I like to see if I can calculate where we are all the time.,Me gusta calcular dónde estamos en cada momento.,59.0,14.0,9.0,3.2857142857142856,0.01694915254237288,48.0,8.0,8.0,5.125,0.020833333333333332
Pop Knickerbocker stands alone,No hay nada como Nueva York,30.0,4.0,13.0,6.75,0.0,27.0,6.0,5.0,3.6666666666666665,0.0
"Well, the law says you have that right.","Bueno, la ley dice que tienes ese derecho.",39.0,8.0,6.0,4.0,0.05128205128205128,42.0,8.0,8.0,4.375,0.047619047619047616
"Isn't that right, Seth?","¿No es así, Seth?",23.0,4.0,6.0,5.0,0.13043478260869565,17.0,4.0,5.0,3.5,0.11764705882352941
- No compromise.,-Ningún acuerdo.,16.0,3.0,11.0,4.666666666666667,0.125,16.0,2.0,8.0,7.5,0.125
We're not gonna waste this week's question... to the nether world on Conan.,"No vas a desperdiciar la pregunta ""de la semana"" con Conan.",75.0,13.0,11.0,4.846153846153846,0.08,59.0,11.0,12.0,4.454545454545454,0.05084745762711865
We misestimate... we call it wrong.,No estimamos bien... Lo llamamos erróneo.,35.0,6.0,14.0,5.0,0.11428571428571428,41.0,6.0,9.0,6.0,0.0975609756097561
"On the other hand, the conclusion of an agreement with Switzerland would mean that as from the year 2005, 40-tonne HGVs could drive through Switzerland quite freely and the road-use charge system would be fair.","Por otro lado, mediante la conclusión del acuerdo con Suiza, a partir del año 2005 se garantiza la plena libertad de circulación para los camiones de 40 toneladas y un sistema justo de determinación de peajes.",210.0,35.0,11.0,5.0285714285714285,0.023809523809523808,209.0,36.0,13.0,4.833333333333333,0.014354066985645933
- There is an objection.,-Una objeción:,24.0,5.0,10.0,4.0,0.08333333333333333,14.0,2.0,9.0,6.5,0.14285714285714285
"And then, my other leg has fallen off too.",También se me ha caído la otra pierna.,42.0,9.0,6.0,3.7777777777777777,0.047619047619047616,38.0,8.0,7.0,3.875,0.02631578947368421
"Yes, i have, indeed.",Creo que debería hablar con quien haya sido asignado a su ejecución.,20.0,4.0,7.0,4.25,0.15,68.0,12.0,10.0,4.75,0.014705882352941176
I don't see why you have to make a big deal out of everything.,No veo por qué tienes que hacer una montaña de todo esto,62.0,14.0,11.0,3.5,0.03225806451612903,56.0,12.0,7.0,3.75,0.0
You scallywags.,Uds. bribones.,15.0,2.0,11.0,7.0,0.06666666666666667,14.0,2.0,9.0,6.5,0.14285714285714285
A 20-year search for mobster Paddy Doyle ended today.,20 años de búsqueda del mafioso Paddy Doyle acabaron hoy.,53.0,9.0,7.0,5.0,0.03773584905660377,57.0,10.0,8.0,4.8,0.017543859649122806
Juan Carlos Itzaina (died). He had three children:,"Juan Carlos Itzaina (fallecido), tuvo tres hijos:",50.0,8.0,9.0,5.375,0.08,49.0,7.0,12.0,6.142857142857143,0.08163265306122448
7 June 2009,7 de diciembre de 2013,11.0,3.0,4.0,3.0,0.0,22.0,5.0,9.0,3.6,0.0
"The footnote for the definition of ‘express road’ in point 7(b) of Annex I to the EIA Directive does not make a general reference to express roads within the meaning of the Agreement, but to ‘a road which complies with the definition’ laid down in the Agreement.","La nota a pie de página relativa al concepto de «vía rápida», contenida en el anexo I, punto 7, letra b), de la Directiva sobre evaluación del impacto ambiental, no remite de manera general a las vías rápidas según se conciben en el Acuerdo, sino que «“vía rápida”corresponde a la definición» dada por el Acuerdo.",262.0,47.0,11.0,4.595744680851064,0.015267175572519083,313.0,55.0,18.0,4.709090909090909,0.025559105431309903
But we're in a horrible situation.,Pero estamos en una situación horrible.,34.0,6.0,10.0,4.833333333333333,0.058823529411764705,39.0,6.0,9.0,5.666666666666667,0.02564102564102564
"Then I moved to a Christian orthodox church and prayed, wishing to receive a message I realized that always our concert for peace has been guided by the world of souls.","Luego me trasladé a una iglesia cristiana ortodoxa y recé, deseando recibir un mensaje. Reconocí que siempre ha sido guiado nuestro concierto por la paz por el mundo de las almas.",168.0,31.0,9.0,4.451612903225806,0.011904761904761904,179.0,31.0,9.0,4.806451612903226,0.01675977653631285
"What I do is, I hear and I feel the music... in my body.",Lo que hago es que escucho y siento la música... en mi cuerpo.,56.0,14.0,8.0,3.0714285714285716,0.08928571428571429,62.0,13.0,9.0,3.8461538461538463,0.06451612903225806
Oh My Gosh!,Dios mío! El olor!,11.0,3.0,5.0,3.0,0.09090909090909091,18.0,4.0,5.0,3.75,0.1111111111111111
You woke me up!,¡Me habéis despertado!,15.0,4.0,4.0,3.0,0.06666666666666667,22.0,3.0,11.0,6.666666666666667,0.045454545454545456
So the sum of these two areas... The squares... Equals...,"Así que la suma de estas dos áreas los cuadrados, da igual a C al cuadrado.",57.0,10.0,10.0,4.8,0.15789473684210525,75.0,16.0,10.0,3.75,0.02666666666666667
In Peru are the mysterious Nazca Lines.,En Perú están las misteriosas líneas de Nazca.,39.0,7.0,10.0,4.714285714285714,0.02564102564102564,46.0,8.0,11.0,4.875,0.021739130434782608
Is it true? Yes.,- ¿De veras?,16.0,4.0,5.0,3.25,0.125,12.0,3.0,6.0,3.3333333333333335,0.16666666666666666
"-No. No. Come on, let her sleep.","No, no, la dejaremos descansar, está exhausta",32.0,7.0,6.0,3.7142857142857144,0.15625,45.0,7.0,10.0,5.571428571428571,0.06666666666666667
Enseigner les langues classiques This French site gives special attention to ICT and software.,Enseigner les langues classiques . Este sitio francés presta una atención especial a las TIC y software.,94.0,14.0,10.0,5.785714285714286,0.010638297872340425,104.0,17.0,10.0,5.176470588235294,0.019230769230769232
That kind of makes it a big deal.,Estas cosas crean grandes problemas.,33.0,8.0,5.0,3.25,0.030303030303030304,36.0,5.0,10.0,6.4,0.027777777777777776
You're not authorized to start acquisition talks.,No estás autorizado para iniciar negociaciones de compra.,49.0,7.0,11.0,6.142857142857143,0.04081632653061224,57.0,8.0,13.0,6.25,0.017543859649122806
What are you doing up here anyway?,¿Qué estás haciendo aquí de todos modos?,34.0,7.0,7.0,4.0,0.029411764705882353,40.0,7.0,8.0,4.857142857142857,0.025
This is going to be a very special evening.,Esta va a ser una noche especial.,43.0,9.0,8.0,3.888888888888889,0.023255813953488372,33.0,7.0,9.0,3.857142857142857,0.030303030303030304
Oh my stars! Oh! Oh!,¡¡Oh las estrellas!,20.0,5.0,6.0,3.2,0.15,19.0,3.0,10.0,5.666666666666667,0.05263157894736842
Its not why he came back here?,¿No fue por eso que regresé aquí?,30.0,7.0,5.0,3.4285714285714284,0.03333333333333333,33.0,7.0,7.0,3.857142857142857,0.030303030303030304
Everything you know about your mom is wrong.,Todo lo que sabías sobre tu madre era incorrecto.,44.0,8.0,10.0,4.625,0.022727272727272728,49.0,9.0,11.0,4.555555555555555,0.02040816326530612
"To achieve these results, the programme will provide technical assistance, equipment and training to child participation networks and the institutions that support them; implement campaigns to promote children's participation; support the establishment of a national social observatory; strengthen institutional capacities for information-gathering, analysis and accessibility; analyse periodically information on public expenditure, efficiency, public policies and local experiences and publish results in different formats geared to particular audiences; strengthen the analytical capacities of civil society and generate opportunities for discussion and engagement in public debates; provide technical assistance and continuous support to the Alliance For Children, Adolescents and Youth; provide training and advice to, and advocate for child rights with, the media, civil society, political parties and society at large; provide training and technical advice and mobilize local actors for the monitoring of local policies; provide training and technical advice to local institutions and actors for the formulation and implementation of local policies in favour of children; systematize and disseminate examples of successful local experiences and public policy approaches in favour of children.","Con objeto de alcanzar esos resultados, el programa facilitará asistencia técnica, equipamiento y capacitación a las redes de participación infantil y a las instituciones que las apoyan; llevará a cabo campañas para promover la participación de los niños; prestará apoyo para la creación de un observatorio social nacional; reforzará la capacidad institucional para la recopilación, el análisis y la accesibilidad de la información; analizará periódicamente información sobre el gasto público, la eficiencia, las políticas públicas y las experiencias locales y publicará los resultados en distintos formatos adaptados a destinatarios concretos; mejorará la capacidad analítica de la sociedad civil y creará oportunidades para la deliberación y la participación en debates públicos; prestará asistencia técnica y apoyo continuo a la Alianza por la Infancia, Adolescencia y Juventud; brindará capacitación y asesoramiento a los medios de información, la sociedad civil, los partidos políticos y la sociedad en general, además de colaborar con ellos en la defensa de los derechos del niño; facilitará capacitación y asesoramiento técnico a los agentes locales y los movilizará para la supervisión de las políticas locales; facilitará capacitación y asesoramiento técnico a las instituciones y los agentes locales para la elaboración y la aplicación de políticas locales en favor de los niños; y sistematizará y difundirá ejemplos de experiencias locales satisfactorias y de enfoques de políticas públicas favorables a los niños.",1299.0,172.0,22.0,6.558139534883721,0.01770592763664357,1525.0,222.0,14.0,5.873873873873874,0.013114754098360656
Pay for this reunion today,¿Pagar por la reunión de hoy?,26.0,5.0,7.0,4.4,0.0,29.0,6.0,7.0,4.0,0.034482758620689655
The Czech Republic is fully aware of the need to make significant progress towards the adoption of a new post-Kyoto agreement.,La República Checa está totalmente conciente de la necesidad de lograr progresos significativos hacia la adopción de un nuevo acuerdo posterior a Kyoto.,126.0,21.0,11.0,5.0476190476190474,0.015873015873015872,152.0,23.0,14.0,5.6521739130434785,0.006578947368421052
- In January.,- En Enero.,13.0,3.0,8.0,3.6666666666666665,0.15384615384615385,11.0,3.0,6.0,3.0,0.18181818181818182
And I used to climb out and sit in the little V out on that roof and look out over the town.,Yo solía trepar y sentarme en esa V del techo y mirar toda la ciudad.,92.0,22.0,6.0,3.227272727272727,0.010869565217391304,69.0,15.0,8.0,3.6666666666666665,0.014492753623188406
We've set up a command post from the lobby here.,Establecimos un puesto de mando en la recepción.,48.0,10.0,7.0,3.9,0.041666666666666664,48.0,8.0,12.0,5.125,0.020833333333333332
Can I have an ice cream sandwich?,¿Puedo tomar un helado en sándwich?,33.0,7.0,9.0,3.857142857142857,0.030303030303030304,35.0,6.0,9.0,5.0,0.02857142857142857
"You leave me no choice, Sefa.","No me dejas opción, Sefa.",29.0,6.0,7.0,4.0,0.06896551724137931,25.0,5.0,7.0,4.2,0.08
"- Mother, can you--","- Madre, podrías...",19.0,4.0,7.0,4.0,0.21052631578947367,19.0,3.0,10.0,5.666666666666667,0.2631578947368421
- I can't concentrate.,–No me puedo concentrar.,22.0,4.0,12.0,4.75,0.13636363636363635,24.0,4.0,11.0,5.25,0.041666666666666664
Offer to help your parents organize their finances.,Ofrézcase para ayudar a sus padres a organizar las finanzas.,51.0,8.0,9.0,5.5,0.0196078431372549,60.0,10.0,9.0,5.1,0.016666666666666666
"The Pentagon has denied that the activities are part of a direct political advertising campaign, according to published reports.","El Pentágono negó que las actividades sean parte de una campaña de publicidad política directa, de acuerdo con información publicada.",128.0,19.0,11.0,5.7894736842105265,0.015625,133.0,20.0,11.0,5.7,0.015037593984962405
- What?,¿Que?,7.0,2.0,5.0,3.0,0.2857142857142857,5.0,1.0,5.0,5.0,0.2
- They've been looking everywhere.,- Han estado buscando por todas partes.,34.0,5.0,11.0,6.0,0.08823529411764706,39.0,7.0,8.0,4.714285714285714,0.05128205128205128
"They let you touch food, put your little faggotty fingers on it?",Más o menos. ¿Y metes los dedos en la comida?,64.0,12.0,8.0,4.416666666666667,0.03125,45.0,10.0,7.0,3.6,0.044444444444444446
- I'll sort out the money anyway.,- Yo solucionaré el problema del dinero.,33.0,7.0,7.0,3.857142857142857,0.09090909090909091,40.0,7.0,11.0,4.857142857142857,0.05
Are you only into me because of the drugs?,¡Y vaya si lo he visto! Ya he elaborado mis planes.,42.0,9.0,7.0,3.7777777777777777,0.023809523809523808,51.0,11.0,9.0,3.727272727272727,0.0392156862745098
- A coma he recovered from.,- Del que se recuperó.,27.0,6.0,9.0,3.6666666666666665,0.07407407407407407,22.0,5.0,9.0,3.6,0.09090909090909091
But I'd rather notgo through the department.,Pero prefiero no hacerlo a través del departamento.,44.0,7.0,11.0,5.428571428571429,0.045454545454545456,51.0,8.0,13.0,5.5,0.0196078431372549
"Service III is responsible for relations with Central and East European countries, the Baltic States, Russia and the other republics of the former USSR, and the former Yugoslavia.","El Servicio III tiene a su cargo las relaciones con los países de Europa Central y Oriental, los Estados bálticos, Rusia y las demás repúblicas de la antigua URSS, y la antigua Yugoslavia.",179.0,28.0,11.0,5.428571428571429,0.0223463687150838,188.0,33.0,11.0,4.7272727272727275,0.02127659574468085
Not when they see these.,No cuando vean eso.,24.0,5.0,6.0,4.0,0.041666666666666664,19.0,4.0,6.0,4.0,0.05263157894736842
02/12/16,20/03/16,8.0,1.0,8.0,8.0,0.25,8.0,1.0,8.0,8.0,0.25
- Check under your seat! - I already did!,¡Mira debajo de tu asiento!,41.0,9.0,7.0,3.6666666666666665,0.0975609756097561,27.0,5.0,8.0,4.6,0.037037037037037035
"• Use DV control technology, with higher charging efficiency.","Utilice la tecnología de control DV, con una mayor eficiencia de carga.",61.0,9.0,11.0,5.888888888888889,0.03278688524590164,71.0,12.0,10.0,5.0,0.028169014084507043
"What, what is... oh.",¿Qué es? .,20.0,4.0,5.0,4.25,0.25,10.0,3.0,4.0,2.6666666666666665,0.2
"16/01/2015, 21:52","23/05/2012, 01:09",17.0,2.0,11.0,8.0,0.23529411764705882,17.0,2.0,11.0,8.0,0.23529411764705882
~ So you think he's our killer?,- ¿Cree que es nuestro asesino?,31.0,7.0,7.0,3.5714285714285716,0.0967741935483871,31.0,6.0,8.0,4.333333333333333,0.06451612903225806
"(a) Reconfirmation of the goals and commitments of the Habitat AgendaReport of the United Nations Conference on Human Settlements (Habitat II), Istanbul, 3-14 June 1996 (United Nations publication, Sales No. E.97.IV.6), chap. I, resolution 1, annex II. and review of the status of implementation, including the identification of progress, gaps, obstacles and challenges;","a) La reconfirmación de los objetivos y los compromisos del Programa de HábitatInforme de la Conferencia de las Naciones Unidas sobre los Asentamientos Humanos (Hábitat II), Estambul, 3 a 14 de junio de 1996 (publicación de las Naciones Unidas, número de venta: S.97.IV.6), cap. I, resolución 1, anexo II. y un examen del estado de su ejecución que incluya la determinación de los avances, los desfases, los obstáculos y los problemas;",370.0,53.0,15.0,6.0,0.062162162162162166,435.0,71.0,14.0,5.140845070422535,0.04597701149425287
"Look, whatever it is that's going on, I just want to know if it's going to ruin my hair at the wedding tomorrow.","Mira, sea lo que sea eso que perseguís, sólo espero que no vaya a arruinar mi peinado en la boda mañana.",112.0,23.0,9.0,3.9130434782608696,0.044642857142857144,104.0,21.0,10.0,4.0,0.028846153846153848
Here is a rough guideline: Most people who have good credit and steady income and do not owe a lot of money can afford to buy a home that costs two-and-a-half to three times their annual income.,"Esta es una guía aproximada: La mayoría de la gente con buen crédito, ingreso fijo y que no deben mucho dinero pueden comprar una casa que cueste de dos veces y media a tres veces su ingreso anual.",194.0,37.0,14.0,4.27027027027027,0.02577319587628866,197.0,38.0,11.0,4.2105263157894735,0.015228426395939087
I'll break it for you.,Lo romperé por ti.,22.0,5.0,5.0,3.6,0.09090909090909091,18.0,4.0,7.0,3.75,0.05555555555555555
I'm giving you a blank cheque along with this bag.,Te daré un cheque en blanco junto a esta maleta.,50.0,10.0,6.0,4.1,0.04,48.0,10.0,7.0,3.9,0.020833333333333332
"Ah, that's easy, Sal.",Eso es fácil.,21.0,4.0,6.0,4.5,0.19047619047619047,13.0,3.0,6.0,3.6666666666666665,0.07692307692307693
"For the purposes of this Article, the provisions of Article 27(3) to (11) shall apply.","El artículo 27, apartados 3 a 11, será aplicable a los efectos del presente artículo.",86.0,15.0,10.0,4.8,0.06976744186046512,85.0,15.0,9.0,4.733333333333333,0.03529411764705882
"Mulder, can't you just for once-- just for the novelty of it-- come up with the simplest explanation, the most logical one, instead of automatically... jumping to U.F.O.s or Bigfoot or--","Mulder, ¿no puedes aunque sea por una vez, sólo... por la novedad de eso, intentarlo con una simple explicación, la más lógica, en vez de automáticamente salir con los OVNIs o Pie Grande o...?",186.0,31.0,16.0,5.032258064516129,0.08602150537634409,192.0,34.0,15.0,4.676470588235294,0.0625
Anspaugh's leading chief rounds in 20 minutes.,Anspaugh va a dirigir la ronda en 20 minutos.,46.0,7.0,10.0,5.714285714285714,0.043478260869565216,45.0,9.0,8.0,4.111111111111111,0.022222222222222223
The research was conducted by the Center for Community Development Studies (CDS) with technical editing and support from the Regional Community Forestry Training Center for Asia and the Pacific (RECOFTC).,"La investigación fue realizada por el Centro para los estudios de desarrollo comunitario, (CDS) y contó con la edición técnica y el apoyo del Centro Regional de Capacitación en Forestería Comunitaria para Asia y el Pacífico, (RECOFTC).",204.0,30.0,11.0,5.833333333333333,0.024509803921568627,235.0,37.0,13.0,5.378378378378378,0.029787234042553193
"In the “E” claim form, Deutz Service sought compensation in the amount of 8,127,332 Deutsche Mark (DEM) (USD 5,203,158) for contract losses and interest.","En el formulario de reclamación de la categoría ""E"", Deutz Service pedía una indemnización de 8.127.332 marcos alemanes (5.203.158 dólares de los EE.UU.",153.0,24.0,12.0,5.416666666666667,0.06535947712418301,152.0,23.0,13.0,5.6521739130434785,0.06578947368421052
"If it helps to have me around, even for a little bit,","Si ayuda tenerme cerca, aunque sea un poco,",53.0,12.0,7.0,3.5,0.03773584905660377,43.0,8.0,7.0,4.5,0.046511627906976744
"These posts were indicated as “suspended”, without any budget provision, in the 2005/06 staffing table; the 2006/07 staffing table proposes their abolishment.","Estos puestos se consideran “suspendidos”, sin consignación presupuestaria, en la plantilla para 2005/2006, y para 2006/2007 se propone que sean suprimidos de la plantilla.",158.0,22.0,12.0,6.2272727272727275,0.0379746835443038,172.0,24.0,15.0,6.208333333333333,0.03488372093023256
It not only needs to address the humanitarian needs of refugees in a timely and dedicated manner but it also has to protect the financial interests of the European Union.,"No solo debe satisfacer las necesidades humanitarias de los refugiados a tiempo y de forma específica, sino que también tiene que proteger los intereses financieros de la Unión Europea.",170.0,30.0,12.0,4.7,0.0058823529411764705,185.0,29.0,12.0,5.413793103448276,0.010810810810810811
"You spend a bunch of money on something, you want people to see it. That's why I wear low-cut tops.","Cuando gastas mucho dinero en algo, quieres que la gente lo vea.",99.0,20.0,10.0,4.0,0.050505050505050504,64.0,12.0,7.0,4.416666666666667,0.03125
"Bodies entitled to receive such operating grants shall be selected following a call for proposals covering the full duration of the programme, with a view to establishing a partnership between these bodies and the European Union.","Los organismos beneficiarios de tales subvenciones de funcionamiento se seleccionarán sobre la base de una convocatoria de propuestas que cubra la duración completa del programa, con el fin de establecer una relación de asociación entre dichos organismos y la Unión Europea.",229.0,36.0,12.0,5.388888888888889,0.008733624454148471,274.0,41.0,14.0,5.7073170731707314,0.0072992700729927005
He's not wearing his wedding ring.,No lleva puesto el anillo de casamiento.,34.0,6.0,7.0,4.833333333333333,0.058823529411764705,40.0,7.0,11.0,4.857142857142857,0.025
internet: http://www.gminzenjering.co.rs,internet: http://www.klasand.si,40.0,2.0,30.0,19.5,0.175,31.0,2.0,21.0,15.0,0.1935483870967742
Be pigheaded then.,Haz lo que quieras.,18.0,3.0,9.0,5.333333333333333,0.05555555555555555,19.0,4.0,8.0,4.0,0.05263157894736842
- You can do it. CORDELIA:,Puedes hacerlo.,26.0,6.0,9.0,3.5,0.11538461538461539,15.0,2.0,8.0,7.0,0.06666666666666667
OVERALL SUMMARY OF THE SCIENTIFIC EVALUATION OF MENITORIX,RESUMEN GENERAL DE LA EVALUACIÓN CIENTÍFICA DE MENITORIX,57.0,8.0,10.0,6.25,0.0,56.0,8.0,10.0,6.125,0.0
"However, the crucial issues are: who takes part in the negotiations?",Los interrogantes decisivos son sin embargo: ¿quién tomará parte en las negociaciones?,68.0,11.0,13.0,5.2727272727272725,0.04411764705882353,86.0,12.0,14.0,6.25,0.023255813953488372
Really?,¿De verdad?,7.0,1.0,7.0,7.0,0.14285714285714285,11.0,2.0,7.0,5.0,0.09090909090909091
"The view was expressed that, as a United Nations entity, the Office had the qualifications to undertake such a function and that that approach, with a small increase in resources, would be more cost-effective than setting up a new entity.","Se expresó el parecer de que, como entidad de las Naciones Unidas, la Oficina reunía las condiciones para cumplir esa función, y de que ese enfoque, con un pequeño aumento de los recursos, sería más económico que crear una nueva entidad.",238.0,40.0,14.0,4.975,0.025210084033613446,237.0,41.0,11.0,4.804878048780488,0.02531645569620253
"the protection of operator, worker and bystander;","la protección de los operarios, los trabajadores y las personas ajenas a la utilización de los productos;",49.0,7.0,10.0,6.142857142857143,0.04081632653061224,105.0,17.0,12.0,5.235294117647059,0.01904761904761905
Remember me to send you to the brig later.,Recuérdame que luego te envíe al calabozo.,42.0,9.0,8.0,3.7777777777777777,0.023809523809523808,42.0,7.0,10.0,5.142857142857143,0.023809523809523808
It is rather a conventional budget.,"Sin embargo, es cierto que el compromiso que hemos alcanzado sobre el techo presupuestario para el marco financiero 2007-2013 no deja a la Comisión mucho margen de maniobra.",35.0,6.0,12.0,5.0,0.02857142857142857,173.0,28.0,14.0,5.214285714285714,0.017341040462427744
B-O-W-E-R-S.,- B-O-W-E-R-S.,12.0,1.0,12.0,12.0,0.5,14.0,2.0,12.0,6.5,0.5
The crisis in Albania has highlighted the need for Europe finally to establish a common foreign and security policy.,La crisis albanesa ha puesto de manifiesto la necesidad de que Europa se dote por fin de una Política Exterior de Defensa y de Seguridad Común.,116.0,19.0,11.0,5.157894736842105,0.008620689655172414,143.0,26.0,10.0,4.538461538461538,0.006993006993006993
- Birth certificate of the widow;,- Partida de nacimiento de la viuda;,33.0,6.0,11.0,4.666666666666667,0.06060606060606061,36.0,7.0,10.0,4.285714285714286,0.05555555555555555
"I raised you to be a doubter and a skeptic, to look at the world with a scientist's eye, but in this instance, that won't work.","Te crié para que fueras escéptica y lo miraras todo con ojos de científico. - Pero en este caso, no funcionará.",127.0,26.0,11.0,3.923076923076923,0.047244094488188976,111.0,21.0,11.0,4.333333333333333,0.036036036036036036
Lawrence Haywood.,Lawrence Haywood.,17.0,2.0,8.0,8.0,0.058823529411764705,17.0,2.0,8.0,8.0,0.058823529411764705
I had a drink with an ex.,Tomé un trago con un ex.,25.0,7.0,5.0,2.7142857142857144,0.04,24.0,6.0,5.0,3.1666666666666665,0.041666666666666664
All the blood is the same type.,Toda la sangre es del mismo tipo.,31.0,7.0,5.0,3.5714285714285716,0.03225806451612903,33.0,7.0,6.0,3.857142857142857,0.030303030303030304
Personal organizers have been around for a while.,Los organizadores personales han estado durante algún tiempo por ahí.,49.0,8.0,10.0,5.25,0.02040816326530612,69.0,10.0,13.0,6.0,0.014492753623188406
Requests for exemption from the duty extended by Article 1 shall be made in writing in one of the official languages of the European Union and must be signed by a person authorised to represent the applicant.,Las solicitudes de exención del derecho ampliado por el artículo 1 se presentarán por escrito en una de las lenguas oficiales de la Unión Europea y deberán ir firmadas por un representante autorizado del solicitante.,208.0,37.0,10.0,4.648648648648648,0.004807692307692308,216.0,35.0,13.0,5.2,0.004629629629629629
Beautiful country.,"- ¿Lo conoce? Es muy bonito, salvaje, ¿eh?",18.0,2.0,9.0,8.5,0.05555555555555555,42.0,8.0,8.0,4.375,0.11904761904761904
The rights and duties of citizens in wartime or in the event of an invasion or attack on the country by foreign forces are governed by an organizational law.,Los derechos y deberes de los ciudadanos durante la guerra o en caso de invasión o ataque del territorio nacional por fuerzas extranjeras se determinarán en una ley orgánica.,157.0,29.0,14.0,4.448275862068965,0.006369426751592357,174.0,29.0,12.0,5.0344827586206895,0.005747126436781609
"The most widely used in the construction of timber houses, baths and designs of overlappings.","El más ampliamente utilizado en la construcción de casas de madera, baños y diseños de coincidencias.",93.0,15.0,13.0,5.266666666666667,0.021505376344086023,101.0,16.0,14.0,5.375,0.019801980198019802
He'll be a lucky man who gets you for a wife.,Será un hombre afortunado quien te tenga por esposa.,45.0,11.0,5.0,3.1818181818181817,0.044444444444444446,52.0,9.0,10.0,4.888888888888889,0.019230769230769232
"When she gets home by 10 p.m., she might watch a movie in English to become more familiar with the language.","Cuando llega a casa a las 10 de la noche, puede que vea una película en la noche para familiarizarse con el idioma.",108.0,21.0,9.0,4.190476190476191,0.037037037037037035,115.0,23.0,14.0,4.043478260869565,0.017391304347826087
- She must be very wealthy.,- Debe ser muy rica.,27.0,6.0,8.0,3.6666666666666665,0.07407407407407407,20.0,5.0,5.0,3.2,0.1
Goddamn night lying flat on His back in the bottom of the Tub.,Paso toda la maldita noche acostado en su espalda gorda en el fondo de la bañadera.,62.0,13.0,7.0,3.8461538461538463,0.016129032258064516,83.0,16.0,9.0,4.25,0.012048192771084338
He's using a lot of hot water.,Utiliza un montón de agua caliente.,30.0,7.0,6.0,3.4285714285714284,0.06666666666666667,35.0,6.0,9.0,5.0,0.02857142857142857
Yeah. To see if he wants us to post about it?,Sí. ¿Para ver si quiere que posteemos sobre esto?,45.0,11.0,5.0,3.1818181818181817,0.044444444444444446,49.0,9.0,9.0,4.555555555555555,0.04081632653061224
That is an inevitable reality - the question is 'when?',"Esa es una realidad inevitable, la cuestión es cuándo.",55.0,10.0,10.0,4.6,0.07272727272727272,54.0,9.0,11.0,5.111111111111111,0.037037037037037035
Mr. Davis is here.,El Sr. Davis está aquí.,18.0,4.0,5.0,3.75,0.1111111111111111,23.0,5.0,5.0,3.8,0.08695652173913043
