en,de,domain
Only a small number of patients have received systemic chemotherapy and IT ziconotide.,Ziconotid erhalten.,medical
How has Actos been studied?,Wie wurde Actos untersucht?,medical
"13 Accidental contact with the skin, eyes or mucous membranes must be treated immediately with copious amounts of water.",Ausspülen mit reichlich Wasser begegnet werden.,medical
Rebif 44 micrograms solution for injection in pre-filled syringe,Rebif 44 Mikrogramm Injektionslösung in einer Fertigspritze,medical
"10 SPC Section 4.8 - Undesirable effects The MAH was asked to identify differences between the listed adverse events in the nationally approved SPCs and the MAH’ s CDS, and to organise Section 4.8 according to the MedDRA system organ class.","Zusammenfassung der Merkmale des Arzneimittels, Abschnitt 4.8 – Nebenwirkungen Der Inhaber der Genehmigung für das Inverkehrbringen wurde aufgefordert, Unterschiede zwi- schen den unerwünschten Ereignissen, die in den national genehmigten Zusammenfassungen der Merkmale des Arzneimittels und der CDS des Inhabers der Genehmigung für das Inverkehrbrin- gen aufgelistet sind, zu ermitteln und den Abschnitt 4.8 gemäß den MedDRA-Organsystemklassen zu gestalten.",medical
"If not used immediately, in-use storage times and conditions prior to use would normally not be longer than 24 hours at 2°C - 8°C (refrigerator), unless reconstitution has taken place in controlled and validated aseptic conditions.","Wenn die gebrauchsfertige Zubereitung nicht sofort eingesetzt wird, betragen Aufbewahrungszeiten und – bedingungen normalerweise nicht länger als 24 Stunden bei 2°C - 8°C (Kühlschrank), sofern die Rekonstitution nicht unter kontrollierten und validierten aseptischen Bedingungen erfolgt ist.",medical
47%,47%,medical
There is no therapeutic experience in patients with severe hepatic impairment.,Es gibt keine therapeutische Erfahrung bei Patienten mit schwerer Einschränkung der Leberfunktion.,medical
- lymphadenopathy.,- Lymphadenopathie,medical
"The effectiveness of Clopidogrel BMS as an anticoagulant was compared with that of aspirin in a study called CAPRIE including around 19,000 patients with atherothrombosis.","Die Wirksamkeit von Clopidogrel BMS als Gerinnungshemmer (Antikoagulans) wurde in einer Studie (CAPRIE) an etwa 19 000 Patienten mit Atherothrombose untersucht, in der sie mit der Wirksamkeit von Aspirin verglichen wurde.",medical
"The active substance in Panretin, alitretinoin, is an anticancer agent that belongs to the group of retinoids, substances that are derived from vitamin A.",Diese Substanzen sind mit Vitamin A verwandt.,medical
The marketing authorisation was renewed on 22 May 2002 and 22 May 2007.,Mai 2007 verlängert.,medical
"Bruxicam 0,5%","Bruxicam 0,5%",medical
"Rare pulmonary undesirable effects, in particular interstitial pneumonia, have been reported after G- CSF administration.","Nach Gabe von G-CSFs wurde über seltene pulmonale Nebenwirkungen, insbesondere interstitielle Pneumonie, berichtet.",medical
"48 • Renal artery stenosis (narrowing of the blood vessels to one or both kidneys). • Liver disease. • Heart trouble. • Raised aldosterone levels (water and salt retention in the body along with imbalance of various blood minerals). • Low blood pressure (hypotension), likely to occur if you are dehydrated (excessive loss of body water) or have salt deficiency due to diuretic therapy ('water tablets'), low-salt diet, diarrhoea, or vomiting. • Elevated potassium levels in your blood. • Diabetes.","• Nierenerkrankung oder Nierentransplantation; • Nierenarterienstenose (Verengung der zu einer oder beiden Nieren führenden Blutgefäße); • Lebererkrankung; • Herzbeschwerden; • erhöhte Aldosteronspiegel (Wasser und Salzretention im Körper einhergehend mit einem Ungleichgewicht von verschiedenen Mineralstoffen im Blut); • niedriger Blutdruck (Hypotonie), der bei Dehydrierung (übermäßiger Flüssigkeitsverlust des Körpers), Salzmangel infolge einer Diuretikabehandlung (""Entwässerungstabletten""), salzarmer Kost, Durchfall oder Erbrechen auftreten kann; • erhöhte Kaliumspiele im Blut; • Diabetes mellitus.",medical
Very common: dry skin; rash Not known: severe skin reactions; hair loss; darkening skin colour; ingrown toenails with or without infection,"Sehr häufig: trockene Haut, Ausschlag, Unbekannt: schwere Hautreaktionen, Haarausfall, dunklere Hautfarbe, eingewachsene Zehennägel mit oder ohne Infektion",medical
Nausea/ vomiting are less frequent when the injection is done in the evening and after meals.,"Übelkeit / Erbrechen sind seltener, wenn die Injek- tionen am Abend oder nach einer Mahlzeit gegeben werden.",medical
"constipation, a","Obstipation Dyspepsie,",medical
Via San Martino 12 M,Via San Martino 12 I-20122 Mailand Italien rz ge än,medical
Remove the syringe and needle.,Entfernen Sie die Spritze und Nadel.,medical
Package size 30 tablets 3 x 30 tablets,Packungsgröße 30 Tabletten 3 x 30 Tabletten,medical
Good Clinical Practice 3.,Gute Klinische Praxis 3.,medical
"Laboratory abnormalities In controlled clinical studies laboratory abnormalities related to Ziagen treatment were uncommon, with no differences in incidence observed between Ziagen treated patients and the control arms.","In kontrollierten klinischen Studien waren Veränderungen der Laborwerte im Zusammenhang mit der Ziagen-Behandlung selten, wobei keine Unterschiede in den Inzidenzen zwischen den mit Ziagen behandelten Patienten und den Kontrollgruppen beobachtet wurden.",medical
Ruhrpharm AG Heidsieker Heide 114 D-33739 Bielefeld Germany,Ruhrpharm AG Heidsieker Heide 114 D-33739 Bielefeld Deutschland,medical
Special contribution for orphan medicinal products,Besonderer Beitrag für Arzneimittel für seltene Leiden (Orphan Medicinal Products),medical
With other alpha blockers a time separation of dosing should be considered when vardenafil is prescribed concomitantly (see section 4.4).,"Bei anderen Alpha- Rezeptorenblockern sollte ein zeitlicher Abstand der Gabe berücksichtigt werden, wenn Vardenafil als Begleitbehandlung verordnet wird (siehe Abschnitt 4.4).",medical
Titanium dioxide Hypromellose Macrogol 400 Polysorbate 80 (E433),Titandioxid Hypromellose Macrogol 400 Polysorbat 80 (E433),medical
Pregnant staff should be excluded from handling the medicinal product.,Schwangeres Personal darf dieses Arzneimittel nicht handhaben.,medical
120 mg 6 presentations,Kapsel 120 mg 6 Packungsgrößen,medical
The two ingredients work together to reduce pressure within the eye.,"Timolol ist ein Betablocker, der die Kammerwasserbildung im Auge verringert.",medical
"Dermal infections (pyoderma – superficial and deep, wounds, abscesses) caused by susceptible strains of Staphylococci, E. coli, and Proteus mirabilis.","Hautinfektionen (Pyodermie- oberflächlich und tief, Wunden, Abszesse) verursacht durch empfindliche Erreger wie Staphylokokken, E. coli und Proteus mirabilis.",medical
172 (57.1%)a 242 (80.4%)a 274 (91.0%) 242 (82.9%)ab,"172 (57,1 %)a 242 (80,4 %)a 274 (91,0%)",medical
"For the full list of all side effects reported with ProQuad, see the Package Leaflet.",Die vollständige Liste aller im Zusammenhang mit ProQuad berichteten Nebenwirkungen ist der Packungsbeilage zu entnehmen.,medical
EU/ 1/ 01/ 185/ 022,EU/1/01/185/022,medical
The mean relative change in total cholesterol was -2.4% for orlistat 60 mg (baseline 5.20 mmol/ l) and +2.8% for placebo (baseline 5.26 mmol/ l).,"Die durchschnittliche Änderung im Gesamtcholesterin betrug mit Orlistat 60 mg -2,4% (Ausgangswert 5,20 mmol/l) und mit Placebo +2,8% (Ausgangswert 5,26 mmol/l).",medical
France BRISTOL-MYERS SQUIBB SARL Tél: + 33 (0)810 410 500,199 France BRISTOL-MYERS SQUIBB SARL Tél: + 33 (0)810 410 500,medical
Submissions dealt with in 5 days,Bearbeitungszeit 5 Tage,medical
"In addition, rosiglitazone inhibited ovarian oestradiol and progesterone synthesis and lowered plasma levels of these hormones resulting in effects on oestrus/ menstrual cycles and fertility (see section 4.4).","Zusätzlich hemmte Rosiglitazon die ovarielle Östradiol- und Progesteronsynthese und erniedrigte die Plasmaspiegel dieser Hormone, mit Auswirkungen auf den Östrus/Menstruationszyklus und die Fertilität (siehe Abschnitt 4.4).",medical
"For patients who have taken medicines to treat HIV infection before, doctors should only prescribe Viread once they have looked at the antiviral medicines the patient has taken before or the likelihood of the virus ’ s response to antiviral medicines.","Patienten, die zuvor bereits andere Arzneimittel zur Behandlung der HIV-Infektion eingenommen haben, sollte Viread nur verordnet werden, nachdem sich der Arzt die antiviralen Arzneimittel, die der Patient zuvor eingenommen hat, angesehen oder die Wahrscheinlichkeit des Ansprechens des Virus auf antivirale Arzneimittel überprüft hat.",medical
Tony HUMPHREYS,Tony HUMPHREYS,medical
Ask your doctor or pharmacist if you are not sure how to take Ciprofloxacin Bayer.,"Bitte fragen Sie bei Ihrem Arzt oder Apotheker nach, wenn Sie sich nicht ganz sicher sind, wie Sie Ciprofloxacin Bayer einnehmen sollen.",medical
"Therefore, the possibility that Gadograf may cause torsade de pointes arrhythmias in an individual patient can not be excluded.","Die Möglichkeit, dass Gadograf bei einzelnen Patienten Torsades-des- pointes-Arrhythmien auslösen könnte, kann folglich nicht ausgeschlossen werden.",medical
"not warm Neupopeg in any other way (for example, do not warm it in a microwave or in hot water). in ic",Wärmen sie Neupopeg keinesfalls auf eine andere Weise auf (beispielsweise im Mikrowellengerät oder in heißem Wasser).,medical
Interferon alfa-2b has been shown to have abortifacient effects in Macaca mulatta (rhesus monkeys) at 90 and 180 times the recommended intramuscular or subcutaneous dose of 2 million IU/ m2.,Bei Macaca mulatta (Rhesus-Affen) konnte man für Interferon alfa-2b nach Gabe des 90- und 180fachen der empfohlenen intramuskulären oder subkutanen Dosis von,medical
9.3±2.2,"9,3±2,2",medical
Be sure to complete your course of treatment.,"Achten Sie darauf, dass Sie den Behandlungsverlauf vollständig durchführen.",medical
40 (53%),40 (53%),medical
Psychiatric disorders,19 Psychiatrische Erkrankungen,medical
"(44-20) 74 18 84 00 Fax (44-20) 74 18 84 16 E-mail: mail@emea. eu. int http: / /www. emea. eu. int ©EMEA 2006 Reproduction and/ or distribution of this document is authorised for non commercial purposes only provided the EMEA is acknowledged Preotact for up to 2 years, and their bone density was measured.","(44-20) 74 18 84 00 Fax (44-20) 74 18 84 16 E-mail: mail@emea.eu.int http://www.emea.eu.int ©EMEA 2006 Reproduction and/or distribution of this document is authorised for non commercial purposes only provided the EMEA is acknowledged wird aus einem Bakterium gewonnen, in das ein Gen (DNA) eingebracht wurde, wodurch es zur Bildung des Hormons angeregt wird.",medical
"Provided its lipophilic properties doxycycline is easily distributed in animal tissues, showing volumes of distribution of 0.53 l/ kg.","Aufgrund seiner lipophilen Eigenschaften verteilt sich Doxycyclin problemlos im Tiergewebe, wobei sich das Distributionsvolumen auf 0,53 l/kg beläuft.",medical
How does Ebixa work?,Wie wirkt Ebixa?,medical
Anti-HBs (10 mIU/ ml) †,Anti-HBs (10 mI.E./ml) †,medical
"For schizophrenia, the recommended starting dose is 10 or 15 mg by mouth per day.",Bei Schizophrenie beträgt die empfohlene Anfangsdosis zum Einnehmen 10 oder 15 mg pro Tag.,medical
The type of haemorrhage is predominantly superficial at the injection site.,Überwiegend handelt es sich um oberflächliche Blutungen an der Injektionsstelle.,medical
"The following information is based on two clinical studies, TT01 and TT02, of Savene administered to extravasation patients already receiving cycles of chemotherapeutic agents.","Die folgenden Informationen basieren auf 2 klinischen Studien, TT01 und TT02, in denen Savene Patienten gegeben wurde, bei denen es zu einer Extravasation kam und die bereits Chemotherapiezyklen erhielten.",medical
is 6.,544 6.,medical
Nederland Serono Benelux BV Tupolevlaan 41-61 NL-1119 NW Schiphol-Rijk Tel: +3120-6582800,Nederland Serono Benelux BV Tupolevlaan 41-61 NL-1119 NW Schiphol-Rijk Tel: +3120-6582800,medical
The median increase from baseline in CD4+ cell count over 48 weeks was 207 cells/mm3 and 203 cells/mm3 in the nelfinavir and fosamprenavir/ritonavir groups respectively.,Der mittlere Anstieg der CD4+-Zellzahl vom Ausgangswert betrug über 48 Wochen 207 Zellen/mm3 und 203 Zellen/mm3 in der Nelfinavir- bzw. der Fosamprenavir/Ritonavir-Gruppe.,medical
"This will lower your chance of flushing (redness of the skin, feeling warm, itching, or tingling, particularly in your head, neck, chest and upper back). • Taking aspirin before you take Trevaclyn does not reduce your flushing more than taking Trevaclyn alone.","Aspirin) vor der Einnahme von Trevaclyn anwenden, wird das Auftreten von Flush nicht weiter vermindert als unter Trevaclyn allein.",medical
Paediatric No studies with sitagliptin have been performed in paediatric patients.,Pädiatrische Patienten Es wurden keine Studien mit Sitagliptin bei pädiatrischen Patienten durchgeführt.,medical
It also has a flat dose/ response curve i. e. its efficacy is largely independent of the dose.,"Es hat außerdem eine flache Dosis-Wirkungs-Kurve, d. h. seine Wirksamkeit ist größtenteils dosisunabhängig.",medical
Partially used vials must be discarded.,Der Inhalt von teilweise aufgebrauchten Durchstechflaschen muss vernichtet werden.,medical
Sterrebaan 14 3606 EB Maarssen,Sterrebaan 14 3606 EB Maarssen,medical
This Mutual Recognition variation procedure was started on 7 December 2006.,Das Änderungsverfahren im Rahmen der gegenseitigen Anerkennung wurde am 7.,medical
Please refer to the respective Summary of Product Characteristics of the antiretroviral medicinal products that are to be taken concurrently with HCV therapy for awareness and management of toxicities specific for each product and the potential for overlapping toxicities with Ribavirin and peginterferon alfa-2b.,"Bitte beachten Sie die entsprechende Fachinformation der antiretroviralen Arzneimittel, die gleichzeitig mit der HCV-Behandlung angewendet werden, um die für jedes Produkt spezifischen Toxizitätsreaktionen sowie die mögliche Überlagerung von Toxizitätsreaktionen mit denen von Ribavirin und Peginterferon alfa-2b erkennen und behandeln zu können.",medical
3-4-5,3-4-5,medical
Nobilis IB 4-91 contains the live IBV virus that has been attenuated (altered) so that it does not cause the disease.,"Nobilis IB 4-91 enthält das lebende IBV-Virus, das attenuiert (abgeschwächt) wurde, so dass es keine Krankheitserscheinungen mehr hervorrufen kann.",medical
"Manufacturer Novartis Farmacéutica, S. A.","128 Hersteller Novartis Farmacéutica, S.A.",medical
EU/ 1/ 97/ 030/ 070,EU/1/97/030/070,medical
Stanhope Gate 15 London W1K 1LN United Kingdom,Stanhope Gate 15 London W1K 1LN United Kingdom,medical
There is no specific antidote for raloxifene hydrochloride.,Es gibt kein spezifisches Antidot gegen Raloxifenhydrochlorid.,medical
2/ 64 Use of the product deviating from the instructions given in the SPC may increase the prevalence of bacteria resistant to the fluoroquinolones and may decrease the effectiveness of treatment with other quinolones due to the potential for cross resistance.,"Wird das Produkt nicht wie in dieser Fachinformation beschrieben verwendet, kann dies zu einer Prävalenz Fluorochinolon-resistenter Bakterien und einer reduzierten Wirksamkeit der Behandlung mit anderen Chinolonen aufgrund potentieller Kreuzresistenz führen.",medical
Bottle (PP),Polypropylen-,medical
(75.3; 78.6),"38,7% (36,8;40,6)",medical
Both studies compared the effects of adding Zenapax or placebo (a dummy treatment) to other immunosuppressive medicines.,Diese Zellen spielen bei der Erkennung von „ fremden“ Zellen und der Abstoßung von transplantierten Organen eine wichtige Rolle.,medical
What is TRISENOX?,Was ist TRISENOX?,medical
Vials Gadovist should not be drawn up into the syringe from the vial until immediately before use.,Durchstechflaschen Gadovist sollte erst unmittelbar vor der Anwendung aus der Durchstechflasche in die Spritze aufgezogen werden.,medical
"office, which he headed from 1972 to 1976.","und danach im Berliner Büro des Instituts, das er von 1972 bis 1976 leitete.",medical
"What Humalog Mix25 100 U/ml KwikPen, suspension for injection contains",Was Humalog Mix25 100 E/ml KwikPen Injektionssuspension enthält,medical
"Of the patients who received 1000 mg rituximab without premedication with glucocorticoids, 18/ 65 (28%) experienced an acute infusion reaction, compared with 24/ 127 (19%) in patients given intravenous glucocorticoid premedication, respectively.","Unter den Patienten, denen 1000 mg Rituximab ohne Glukokortikoid-Prämedikation verabreicht wurden, erlitten 18 von 65 (28%) eine akute Infusionsreaktion, verglichen mit 24 von 127 Patienten (19%), die eine intravenöse Prämedikation mit einem Glukokortikoid erhalten hatten.",medical
MANUFACTURER OF THE BIOLOGICAL ACTIVE SUBSTANCES AND MANUFACTURING AUTHORISATION HOLDER RESPONSIBLE FOR BATCH RELEASE,"HERSTELLER DER WIRKSTOFFE BIOLOGISCHEN URSPRUNGS UND INHABER DER HERSTELLUNGSERLAUBNIS, DER FÜR DIE CHARGENFREIGABE VERANTWORTLICH IST",medical
"- painful joints or muscles, muscle weakness","- Gelenk- oder Muskelschmerzen, Muskelschwäche",medical
"If a patient does not respond after 3 doses, no additional treatment with infliximab should be given.","Wenn der Patient nach der dritten Dosis kein Ansprechen zeigt, sollte die Infliximab-Therapie nicht fortgeführt werden.",medical
"The proportions of patients with no signs of viral activity in their blood at follow- up were 32% with Pegasys and 22% with lamivudine in the HBeAg-positive patients, and 43% with Pegasys and 29% with lamivudine in the HBeAg-negative patients.","Der Anteil der Patienten, bei denen die Nachuntersuchung keinerlei Anzeichen für Virusaktivitäten im Blut ergab, betrug bei den HBeAg-positiven Patienten unter Pegasys 32% und bei denen unter Lamivudin 22%; bei den HBeAg-negativen Patienten waren es 43% unter Pegasys und 29% unter Lamivudin.",medical
Children receiving haemodialysis,Kinder unter Hämodialyse,medical
http://www.emea.europa.eu/ i dic Me,Arzneimittel Agentur (EMEA) http://www.emea.europa.eu/ verfügbar. ich ln itte eim zn Ar,medical
100 vials (multidose),100 Glasfläschchen (Mehrdosen),medical
Severe hepatic impairment Dosing adjustment of fondaparinux is not necessary.,Schwere Leberfunktionsstörungen Eine Dosisanpassung für Fondaparinux ist nicht erforderlich.,medical
"Like in all patients receiving erythropoietin, blood pressure may rise during treatment with Silapo.","Wie bei allen Patienten, die Erythropoetin erhalten, kann unter Behandlung mit Silapo der Blutdruck ansteigen.",medical
German Education:,"April 1949, Deutscher Bildung:",medical
The large number of designations granted in 2001 will result in a higher than anticipated number of orphan marketing applications in 2002.,"Die hohe Nummer der Ausweisungen, welche im Jahr 2001 gewährt wurden, wird in eine Anzahl von Zulassungsanträgen in 2002 resultieren, die höher als erwartet sein wird.",medical
Apidra is a clear insulin.,Apidra ist eine klare Insulinlösung.,medical
These have shown no deleterious effect on joint cartilage.,Diese zeigten keine nachteilige Wirkung auf den Gelenkknorpel.,medical
What is Pradaxa used for?,Wofür wird Pradaxa angewendet?,medical
- if you suffer from any liver problems;,- wenn Sie an einer Lebererkrankung leiden;,medical
These activities are primarily organised through the Pan-European Regulatory Forum programme (PERF) and the different priority action areas relating to human medicines.,Die Organisation dieser Aktivitäten erfolgt in erster Linie über das Programm des „ Pan-European Regulatory Forum“ (PERF) und die verschiedenen Schwerpunktbereiche im Hinblick auf Humanarzneimittel.,medical
"For the same reason, concomitant administration of both a potent CYP3A4 inhibitor (such as ketoconazole, itraconazole and ritonavir) and a CYP2C9 inhibitor (such as voriconazole) with Tracleer is not recommended (see section 4.4).","Aus dem gleichen Grund wird die gleichzeitige Verabreichung sowohl eines potenten CYP3A4-Inhibitors (wie Ketoconazol, Itraconazol und Ritonavir) als auch eines CYP2C9-Inhibitors (wie Voriconazol) mit Tracleer nicht empfohlen (siehe Abschnitt 4.4).",medical
Gardasil should be used in accordance with official guidelines.,Gardasil sollte entsprechend den offiziellen Empfehlungen angewendet werden.,medical
49 000 000,771 000 700 000,medical
"Those serious adverse reactions attributed to TRISENOX included APL differentiation syndrome (3), leukocytosis (3), prolonged QT interval (4, 1 with torsade de pointes), atrial fibrillation/ atrial flutter (1), hyperglycaemia (2) and a variety of serious adverse reactions related to haemorrhage, infections, pain, diarrhoea, nausea.","Dabei wurden Fälle von APL-Differenzierungssyndrom (3), Leukozytose (3), QT- Verlängerung (4, davon 1 mit Torsade de Pointes), Vorhofflimmern/Vorhofflattern (1), Hyperglykämie (2) und verschiedene schwerwiegende Nebenwirkungen, die mit Blutungen, Infektionen, Schmerzen, Diarrhoe oder Übelkeit verbunden waren, TRISENOX zugeschrieben.",medical
Take special care with Myocet.,Besondere Vorsicht bei der Anwendung von Myocet ist erforderlich:,medical
10 • Characteristics in patients,• Patientencharakteristika,medical
"After 6 consecutive weeks of patch wear, there should be a patch free interval of 7 days.",Nach 6 aufeinanderfolgenden Wochen mit aufgebrachtem Pflaster muss ein pflasterfreies Intervall von 7 Tagen eingelegt werden.,medical
The percentage of patients who lost less than 1.5 lines was 64% for Visudyne and 49% for placebo (p=0.106).,"Der Anteil der Patienten mit einem Visusverlust kleiner 1,5 Zeilen betrug für Visudyne 64% und 49% für Plazebo (p=0.106).",medical
"Viraferon is administered subcutaneously at a dose of 3 million IU three times a week (every other day) to adult patients, whether administered as monotherapy or in combination with ribavirin.",Interferon alfa-2b 3 Mio I.E./m2 wird dreimal in der Woche (jeden zweiten Tag) subkutan verabreicht in Kombination mit Ribavirin Kapseln t lä,medical
"6 All patients in the chronic hepatitis C studies had a liver biopsy before inclusion, but in certain cases (i. e. patients with genotype 2 and 3), treatment may be possible without histological confirmation.",Patienten mit Genotyp 2 und 3) kann eine Behandlung ohne zn,medical
- Acetylsalcylic acid or other anti-inflammatory medicines,- Acetylsalicylsäure oder andere entzündungshemmende Arzneimittel,medical
Dublin 2 Ireland Tel.,"Seamus HEALY Assistant Secretary Department of Agriculture, Food and Rural Development Agriculture House Kildare Street IRL - Dublin 2 Tel.",medical
d) 487 Days,d) 487 Days,medical
"The patient’ s immune response to trace amounts of contaminating proteins was analysed by examining titres of antibodies to these proteins, laboratory parameters and reported adverse events.","Die Immunantwort der Patienten auf Spuren von kontaminierenden Proteinen wurde durch die Untersuchung der Antikörpertiter gegen diese Proteine, Laborparameter und gemeldete Nebenwirkungen analysiert.",medical
WHAT RISPERDAL CONSTA IS AND WHAT IT IS USED FOR,WAS IST RISPERDAL CONSTA UND WOFÜR WIRD ES ANGEWENDET?,medical
Bulgaria:,Bulgarien:,medical
EU/ 2/ 03/ 039/ 004,EU/2/03/039/004,medical
What is Gliolan?,Was ist Gliolan?,medical
efficacy*,Wirksamkeit des Impfstoffs*,medical
12 pre-filled syringes + 12 needles,12 Fertigspritzen + 12 Nadeln,medical
"In placebo-controlled trials with RISPERDAL in this population, the incidence of mortality was 4.0% for RISPERDAL-treated patients compared to 3.1% for placebo-treated patients.","In plazebokontrollierten Studien mit RISPERDAL in dieser Patientenpopulation lag die Mortalitätsinzidenz bei den mit RISPERDAL behandelten Patienten bei 4,0% verglichen mit 3,1% bei den Patienten unter Plazebo.",medical
60/ 61,68/69,medical
"Furthermore since metabolism of varenicline represents less than 10% of its clearance, active substances known to affect the cytochrome P450 system are unlikely to alter the pharmacokinetics of varenicline (see section 5.2) and therefore a dose adjustment of CHAMPIX would not be required.",Deshalb ist eine Dosisanpassung von CHAMPIX nicht erforderlich.,medical
Using glucagon t uc,"Wenn Ihnen Glukagon gegeben wurde, sollten",medical
"The data from 145 patients in two long-term studies who received daily doses of 10, 15, or 20 mg, demonstrate pegvisomant mean serum concentrations (± SD) of approximately 8800 ± 6300, 13200 ± 8000 and 15600 ± 10300 ng/ ml, respectively.","Die Daten von 145 Patienten, die in zwei Langzeitstudien täglich 10, 15 oder 20 mg erhielten, zeigen mittlere Pegvisomant- Serumkonzentrationen (± SD) von ungefähr 8800 ± 6300, 13200 ± 8000 und 15600 ± 10300 ng / ml.",medical
"Common: dyspnoea, dyspnoea exertional, cough, dysphonia.","Dyspnoe, Belastungsdyspnoe, Husten, Dysphonie.",medical
Two patients (0.7%) experienced Serious Adverse Events potentially related to study drug.,"Zwei Patienten (0,7%) hatten schwere Nebenwirkungen, die möglicherweise in Zusammenhang mit der Studienmedikation standen.",medical
"Colecalciferol At doses far higher than the human therapeutic range, reproductive toxicity has been observed in animal studies.",Colecalciferol In Tierstudien wurden bei weit höheren Dosen als der therapeutischen Dosis beim Menschen reproduktionstoxische Wirkungen beobachtet.,medical
"Danmark Merck Sharp & Dohme, Tlf: +45 43 28 77 66 dkmail@merck. com","Danmark Merck Sharp & Dohme, Tlf: +45 43 28 77 66 dkmail@merck.com",medical
Wash Hands Thoroughly,Waschen Sie sich gründlich die Hände,medical
• In addition the different ZYPREXA tablet strengths also contain the following ingredients:,- Zusätzlich enthalten die verschiedenen ZYPREXA Tablettenstärken die folgenden Bestandteile:,medical
The pharmacokinetics of ritonavir remained unchanged.,Die Pharmakokinetik von Ritonavir wurde nicht beeinflusst.,medical
PUREVAX RCPCH,PUREVAX RCPCH,medical
"Raynaud’s disease, flushing, pallor",137,medical
"Furthermore, the study provided no information on the effect that higher doses of losartan (greater than 50mg) could have on improving efficacy.","Darüber hinaus lieferte die Studie keine Informationen darüber, ob höhere Dosen von Losartan (über 50 mg) die Wirksamkeit verbessern.",medical
You will push it in when you are ready to self-inject the Dark ring,Dieser wird erst Dunkler Ring,medical
"C apsules 200mg,400mg 5 Presentations","Capsules 200mg,400mg 5 Presentations",medical
"Based on the analysis of pooled placebo-controlled trials, comprising a total of 1923 patients on SIFROL and 1354 patients on placebo, adverse drug reactions were frequently reported for both groups.","Basierend auf der Analyse von gepoolten, Plazebo-kontrollierten Studien mit insgesamt 1923 Patienten unter SIFROL und 1354 Patienten unter Plazebo, wurden Nebenwirkungen in beiden Gruppen häufig berichtet.",medical
"Xenical capsules are turquoise with the imprint “ ROCHE XENICAL 120” and are supplied in blister packs and glass bottles, containing 21, 42 and 84 capsules.","Xenical Kapseln sind türkis mit Aufdruck „ ROCHE XENICAL 120“ und sind in Blisterpackungen und in Glasflaschen mit 21, 42 oder 84 Kapseln erhältlich.",medical
- patients with exudative (wet) age-related macular degeneration (AMD) with predominantly,- Patienten mit exudativer (feuchter) altersbezogener Makuladegeneration (AMD) mit,medical
67/ 72,69/75,medical
"Elevated liver enzymes, jaundice, hepatitis","Erhöhte Leberenzyme, Gelbsucht, Hepatitis.",medical
Do not use Neulasta,Neulasta darf nicht angewendet werden:,medical
"Following injection, pigs may have an increased body temperature of 1.4°C for up to two days, and in some pigs of up to 2.5°C, but this should not last more than 24 hours after the injection.","Nach der Injektion können die Schweine für bis zu zwei Tage eine um 1,4°C erhöhte Körpertemperatur haben, einige Tiere auch um bis zu 2,5°C, was jedoch nicht länger als 24 Stunden nach der Injektion andauern sollte.",medical
Docetaxel is a lipophilic substance but it is not known whether it is excreted in human milk.,"Docetaxel ist eine lipophile Substanz; es ist jedoch nicht bekannt, ob es in die Muttermilch übergeht.",medical
Please refer to the Package Leaflets of these other medicines for guidance on how to take them.,Bitte beachten Sie daher auch die Einnahmehinweise in den Packungsbeilagen dieser anderen Arzneimittel.,medical
Duration of treatment in combination with pegylated interferon alfa-2b,Behandlungsdauer bei Kombinationstherapie mit pegyliertem Interferon alfa-2b,medical
Each vial contains 100 mg of anakinra.,Jede Durchstechflasche enthält 100 mg Anakinra.,medical
"If more than 7 days elapse after taking the last active oral contraceptive tablet, the woman may have ovulated and should, therefore, be advised to consult a physician before initiating treatment with EVRA.",Die Anwenderin sollte deshalb vor der Anwendung von EVRA ihren Arzt aufsuchen.,medical
Maintenance pack Carton Pack containing 2 blister packs of 14 x 1 mg varenicline film-coated tablets or 4 blister packs of 14 x 1 mg varenicline film-coated tablets or 8 blister packs of 14 x 1 mg varenicline film-coated tablets,Folgepackung Faltschachtel mit entweder 2 Blisterpackungen zu 14 x 1 mg Vareniclin-Filmtabletten oder 4 Blisterpackungen mit 14 x 1 mg Vareniclin-Filmtabletten oder 8 Blisterpackungen mit 14 x 1 mg Vareniclin-Filmtabletten,medical
"Abacavir has also been shown in vitro not to inhibit CYP 3A4, CYP 2C9 or CYP 2D6 enzymes at clinically relevant concentrations.","Abacavir hat auch in vitro gezeigt, dass es die Metabolisierung, die über die Enzyme CYP 3A4, CYP 2C9 oder CYP 2D6 vermittelt wird, in klinisch relevanten Konzentrationen nicht hemmt.",medical
RISPERDAL and associated names (see Annex I) 6 mg film-coated tablets,RISPERDAL und zugehörige Namen (siehe Anhang I) 6 mg Filmtabletten,medical
The chelating property is probably also responsible for an increased urinary excretion of iron and zinc and a decreased serum concentration of calcium as described in a few studies.,"Die chelatbildende Eigenschaft ist wahrscheinlich auch für die gesteigerte Ausscheidung von Eisen und Zink über den Harntrakt und die verringerte Serumkonzentration von Calcium verantwortlich, wie in einigen wenigen Studien beschrieben wird.",medical
"1-ml ampoules, colourless, glass type I, containing 1 ml nebuliser solution, ring coded with three coloured rings (pink – red- red).","1-ml-Ampullen, farblos, Glas Typ I, enthalten 1 ml Lösung für einen Vernebler und sind mit drei farbigen Ringen (pink – rot – rot) gekennzeichnet.",medical
Moreover half life is longer than in adults.,Darüber hinaus ist die Halbwertszeit länger als bei Erwachsenen.,medical
