en,es
Here is a rough guideline: Most people who have good credit and steady income and do not owe a lot of money can afford to buy a home that costs two-and-a-half to three times their annual income.,"Esta es una guía aproximada: La mayoría de la gente con buen crédito, ingreso fijo y que no deben mucho dinero pueden comprar una casa que cueste de dos veces y media a tres veces su ingreso anual."
I'll break it for you.,Lo romperé por ti.
I'm giving you a blank cheque along with this bag.,Te daré un cheque en blanco junto a esta maleta.
"Ah, that's easy, Sal.",Eso es fácil.
"For the purposes of this Article, the provisions of Article 27(3) to (11) shall apply.","El artículo 27, apartados 3 a 11, será aplicable a los efectos del presente artículo."
"Mulder, can't you just for once-- just for the novelty of it-- come up with the simplest explanation, the most logical one, instead of automatically... jumping to U.F.O.s or Bigfoot or--","Mulder, ¿no puedes aunque sea por una vez, sólo... por la novedad de eso, intentarlo con una simple explicación, la más lógica, en vez de automáticamente salir con los OVNIs o Pie Grande o...?"
Anspaugh's leading chief rounds in 20 minutes.,Anspaugh va a dirigir la ronda en 20 minutos.
The research was conducted by the Center for Community Development Studies (CDS) with technical editing and support from the Regional Community Forestry Training Center for Asia and the Pacific (RECOFTC).,"La investigación fue realizada por el Centro para los estudios de desarrollo comunitario, (CDS) y contó con la edición técnica y el apoyo del Centro Regional de Capacitación en Forestería Comunitaria para Asia y el Pacífico, (RECOFTC)."
"In the “E” claim form, Deutz Service sought compensation in the amount of 8,127,332 Deutsche Mark (DEM) (USD 5,203,158) for contract losses and interest.","En el formulario de reclamación de la categoría ""E"", Deutz Service pedía una indemnización de 8.127.332 marcos alemanes (5.203.158 dólares de los EE.UU."
"If it helps to have me around, even for a little bit,","Si ayuda tenerme cerca, aunque sea un poco,"
"These posts were indicated as “suspended”, without any budget provision, in the 2005/06 staffing table; the 2006/07 staffing table proposes their abolishment.","Estos puestos se consideran “suspendidos”, sin consignación presupuestaria, en la plantilla para 2005/2006, y para 2006/2007 se propone que sean suprimidos de la plantilla."
It not only needs to address the humanitarian needs of refugees in a timely and dedicated manner but it also has to protect the financial interests of the European Union.,"No solo debe satisfacer las necesidades humanitarias de los refugiados a tiempo y de forma específica, sino que también tiene que proteger los intereses financieros de la Unión Europea."
"You spend a bunch of money on something, you want people to see it. That's why I wear low-cut tops.","Cuando gastas mucho dinero en algo, quieres que la gente lo vea."
"Bodies entitled to receive such operating grants shall be selected following a call for proposals covering the full duration of the programme, with a view to establishing a partnership between these bodies and the European Union.","Los organismos beneficiarios de tales subvenciones de funcionamiento se seleccionarán sobre la base de una convocatoria de propuestas que cubra la duración completa del programa, con el fin de establecer una relación de asociación entre dichos organismos y la Unión Europea."
He's not wearing his wedding ring.,No lleva puesto el anillo de casamiento.
internet: http://www.gminzenjering.co.rs,internet: http://www.klasand.si
Be pigheaded then.,Haz lo que quieras.
- You can do it. CORDELIA:,Puedes hacerlo.
OVERALL SUMMARY OF THE SCIENTIFIC EVALUATION OF MENITORIX,RESUMEN GENERAL DE LA EVALUACIÓN CIENTÍFICA DE MENITORIX
"However, the crucial issues are: who takes part in the negotiations?",Los interrogantes decisivos son sin embargo: ¿quién tomará parte en las negociaciones?
Really?,¿De verdad?
"The view was expressed that, as a United Nations entity, the Office had the qualifications to undertake such a function and that that approach, with a small increase in resources, would be more cost-effective than setting up a new entity.","Se expresó el parecer de que, como entidad de las Naciones Unidas, la Oficina reunía las condiciones para cumplir esa función, y de que ese enfoque, con un pequeño aumento de los recursos, sería más económico que crear una nueva entidad."
"the protection of operator, worker and bystander;","la protección de los operarios, los trabajadores y las personas ajenas a la utilización de los productos;"
Remember me to send you to the brig later.,Recuérdame que luego te envíe al calabozo.
It is rather a conventional budget.,"Sin embargo, es cierto que el compromiso que hemos alcanzado sobre el techo presupuestario para el marco financiero 2007-2013 no deja a la Comisión mucho margen de maniobra."
B-O-W-E-R-S.,- B-O-W-E-R-S.
The crisis in Albania has highlighted the need for Europe finally to establish a common foreign and security policy.,La crisis albanesa ha puesto de manifiesto la necesidad de que Europa se dote por fin de una Política Exterior de Defensa y de Seguridad Común.
- Birth certificate of the widow;,- Partida de nacimiento de la viuda;
"I raised you to be a doubter and a skeptic, to look at the world with a scientist's eye, but in this instance, that won't work.","Te crié para que fueras escéptica y lo miraras todo con ojos de científico. - Pero en este caso, no funcionará."
Lawrence Haywood.,Lawrence Haywood.
I had a drink with an ex.,Tomé un trago con un ex.
All the blood is the same type.,Toda la sangre es del mismo tipo.
Personal organizers have been around for a while.,Los organizadores personales han estado durante algún tiempo por ahí.
Requests for exemption from the duty extended by Article 1 shall be made in writing in one of the official languages of the European Union and must be signed by a person authorised to represent the applicant.,Las solicitudes de exención del derecho ampliado por el artículo 1 se presentarán por escrito en una de las lenguas oficiales de la Unión Europea y deberán ir firmadas por un representante autorizado del solicitante.
Beautiful country.,"- ¿Lo conoce? Es muy bonito, salvaje, ¿eh?"
The rights and duties of citizens in wartime or in the event of an invasion or attack on the country by foreign forces are governed by an organizational law.,Los derechos y deberes de los ciudadanos durante la guerra o en caso de invasión o ataque del territorio nacional por fuerzas extranjeras se determinarán en una ley orgánica.
"The most widely used in the construction of timber houses, baths and designs of overlappings.","El más ampliamente utilizado en la construcción de casas de madera, baños y diseños de coincidencias."
He'll be a lucky man who gets you for a wife.,Será un hombre afortunado quien te tenga por esposa.
"When she gets home by 10 p.m., she might watch a movie in English to become more familiar with the language.","Cuando llega a casa a las 10 de la noche, puede que vea una película en la noche para familiarizarse con el idioma."
- She must be very wealthy.,- Debe ser muy rica.
Goddamn night lying flat on His back in the bottom of the Tub.,Paso toda la maldita noche acostado en su espalda gorda en el fondo de la bañadera.
He's using a lot of hot water.,Utiliza un montón de agua caliente.
Yeah. To see if he wants us to post about it?,Sí. ¿Para ver si quiere que posteemos sobre esto?
That is an inevitable reality - the question is 'when?',"Esa es una realidad inevitable, la cuestión es cuándo."
Mr. Davis is here.,El Sr. Davis está aquí.
: Receptor of radiation whose colorimetric characteristics correspond to the spectral tristimulus values x–,": Receptor de irradiación, cuyas características colorimétricas corresponderán a los componentes tricromáticos espectrales x–"
I still think you should bow out of this anatomy class you signed up to teach.,Sigo pensando que deberías retirarte de esa clase de anatomía que accediste a dar.
Matty Hari.,Matty Hari.
Just sign the fucking document.,Firma el puto documento. Está bien.
"All right, let's pop off our pants.","Bien, vamos a sacarnos los pantalones."
We take them with us.,Los llevamos con nosotros.
13 and 34.,13 and 34.
"I just can't, and that feeling that Sue was talking about in there of being tethered to someone...","No puedo, y aquél sentimiento del que Sue estaba hablando allá dentro de ser atado a alguien..."
The path's covered with them.,El camino está cubierto de ellos.
The Fund's financial contribution shall take the form of grants.,La contribución financiera del Fondo adoptará la forma de subvenciones.
"You know it's just a spear, right?","Sabes que es solo una lanza, ¿verdad?"
"Well, most years we try to avoid anything divisive.","Bueno, casi todos los años intentamos evitar todo lo que provoque división."
EU Market access for European Companies (debate),Estrategia de la UE para facilitar a las empresas europeas el acceso a los mercados exteriores (debate)
"Wow, grade eight, so it takes forty years.","Wow, grado ocho, así que unos cuarenta años."
People smoking grass?,Gente fumando hierba.
Testimony in the mountains,Testimonio en la montaña
Such a regulatory body should be able to enforce its information requests and decisions by means of appropriate penalties.,"Mediante las sanciones que correspondan, dicho organismo regulador debe poder hacer cumplir los requerimientos de información que emita y las decisiones que adopte a tal respecto."
"""I desire to buy a house, but I don't have the means to do it.","""Tengo deseo de comprar una casa, pero no tengo posibilidad de hacerlo."
"If we were in New York, I'd be suing her for harassment and non-support.","Si estuviera en Nueva York, la demandaría por falta de manutención."
Thus Mongolia is a medium ranking country by human development.,"En consecuencia, Mongolia es un país con un desarrollo humano intermedio."
Do I look like a professional killer to you?,¿Parezco un asesino profesional para ti?
"Protest outside the AGM of Anglo American in London, April 2013","Protesta ante la Junta general de Anglo American, en abril de 2013, en Londres."
"And if you can't, well,I can.","Y si tú no puedes... bueno, yo puedo."
I must have been dreaming or so fuckin' high.,O lo he soñado o estaba colocado.
"There you go. There you go, man.","Ahí lo tienes, ahí lo tienes, tío."
"Now, Dale, listen carefully.","Ahora, Dale, escucha con cuidado."
I got a disimpaction for you in 3.,Una desimpactación en la tres.
I'm having a woman's period.,Tengo el periodo femenino.
- all in front of you.,- antes que tú.
"Evidence from two double-blind, placebo-controlled trials and one comparative trial suggest that cream made from the herb Oregon grape ( Mahonia) may help reduce symptoms of psoriasis, although it does not seem to be as effective as standard medications.","Evidencia de pruebas controladas preliminares sugiere que la hierba uva de Oregon ( Mahonia) podría ayudar a reducir ligeramente los síntomas de psoriasis, aunque no parece que sea tan efectiva como los medicamentos estándar."
And He Looked Inside.,El resto del grupo no sabe adónde va.
(clicking),(Clic)
"Wait a minute, ""a girl like me""? What's that mean?","Espera un minuto, ""¿una chica como yo?"" ¿Qué significa eso?"
- We might get laid.,Puede que echemos un polvo.
Today many companies still manage this in spreadsheets.,Hoy muchas compañías aún manejan esto en hojas de cálculo.
It smoothes and tightens.,Suaviza y reafirma.
San Antonio.,San Antonio.
I really saw her climbing up the window,Yo en realidad la vi trepando la ventana.
Yuriko told him that she wanted to go... but not necessarily with him.,Yuriko le dijo que quería ir pero no necesariamente con él.
"They were simply buying acid on the black market and stuffing it down their throats, with very little regard for the consequences.","Ellos simplemente estaban comprando ácido en el mercado negro y engulléndolo en sus gargantas, con muy poca importancia de las consecuencias."
"I was in class, actually, when Bruce Lee died.","Yo estaba en clase, en realidad, cuando Bruce Lee murió."
"But there's more. In order to get close to Fat Bastard, I had to--",Es que para estar con Gordo Bastardo tuve que...
So that completes voir dire.,Siéntese. Eso completa el examen preliminar.
"- Hey, is that wine?",- Sí. - ¿Eso es vino?
This debate is fizzling out because of the situation in Italy and the positive statements that we are hearing.,Este debate está fracasando a causa de la situación de Italia y de las declaraciones positivas que estamos escuchando.
I started my own business.,Yo comencé mi propio negocio.
Mr. Tiwari..,El Sr. Tiwari ..
"The main problem for who wishing to start or revive a dance hall or a discotheque, remains, as indeed for any activity, th [...]",El problema principal de las personas que deseen iniciar o reactivar un salón de baile o disco [...]
"Food and Agriculture Organization of the United Nations, Report of the twenty-fifth session of the Committee on Fisheries, Rome, 24-28 February 2003, FAO Fisheries Report No. 702 (FIPL/R702(En)), appendix H.","Organización de las Naciones Unidas para la Agricultura y la Alimentación, Informe del 25º período de sesiones del Comité de Pesca, Roma, 24 a 28 de febrero de 2003, FAO Fisheries Report No. 702 (FIPL/R702(En)), apéndice H."
"Well, I have it on some authority there will be a massive buildup.",Creo no equivocarme si afirmo que habrá un aumento masivo.
"And where are them little magnets I had over here, huh?","! Oh, ¡¿y dónde están los pequeños imanes que tenía por aquí, eh?"
"If I hadn't asked you to work today, you'd be at home right now with your family.","Si no te hubiera pedido trabajar hoy, estarías en casa ahora mismo con tu familia."
People leaving the rally made a good impression - more or less normal people.,La gente que salía de la manifestación me causó una buena impresión - personas más o menos normales.
"Pity he didn't talk, then.",Una pena que no haya hablado entonces.
That's what Dave Buster's does.,Es lo que hace Dave Buster's.
She was fooled by all that love of his.,Se engaño con todo ese amor.
"We are, however, heartened by recent peacemaking efforts in both the Sudan and Somalia.","No obstante, nos alientan los esfuerzos de paz recientes tanto en el Sudán como en Somalia."
I had to get back to change for the party.,Tengo que volver para cambiarme para la fiesta.
"I would, on occasion, uh, look at your e-mail...",- ...en ocasiones miraba tu e-mail. - ¿Qué?
– The best,–Ya deja de discutir
"You like me, I won't make you say it.",No hacía falta que dijeras que te gusto.
"It's just how I feel, that's all.","Así me siento, y eso es todo."
You look like an angel!,¡Pareces un ángel!
(3) unanimous unanimous decision decision on on the the opening opening of of accession accession negotiations.,(3) decisión decisión unánime unánime que que determina determina si deben si deben iniciarse iniciarse las las negociaciones negociaciones de de adhesión.
Maybe C-24 is what destroyed the population.,Tal vez el C-24 fuera lo que destruyó a la población.
"Artists of this group include Julio Barragán, Luis Seoane, Carlos Torrallardona, Luis Aquino, Atilio Malinverno, and Alfredo Gramajo Gutiérrez.","En este grupo se encuentran artistas como Julio Barragán, Luis Seoane, Carlos Torrallardona, Luis Aquino, Atilio Malinverno y Alfredo Gramajo Gutiérrez."
Potatoes (including early potatoes and seed potatoes),Patatas (incluidas las patatas tempranas y las patatas para siembra)
"Last year I had the incredible opportunity to attend the Libre Graphic Meeting at Vienna, and since that moment, I started to contribute a bit more with different apps, instead only spread them.","El año pasado tuve la increible oportunidad de asistir al Libre Graphic Meeting en Vienna, y desde ese momento, comencé a colaborar un poco más con las aplicaciones, más que solo difundir."
Enough talking...,Basta de hablar.
"""According to an official report... ""the squadron leader claimed that several direct hits by medium bombs... ""were scored before the Nazis could submerge","Según el informe, el jefe del escuadrón dice que varias bombas impactaron antes de que los nazis pudiesen sumergirse."
The guy's been really good to us.,Fue muy bueno con nosotros.
tioxidazole,tioxidazol
"Huck, you have to testify.","Huck, tienes que testificar."
If I tell her everything...,Supongamos que le confieso la verdad.
"Everything you've written, you've actually done?",¿Has hecho todo lo que has escrito?
"You know,you can't say that you weren't warned.","Tu sabes, no puedes decir que no estabas advertida."
This article has been read 2621 .,Artículo leído 3090 veces.
"I'll talk to him, alright.","Hablaré con él, ¿vale?"
"Because it's dirty and wrong, and I'll wash your mouth out with soap!","Porque es cochino y está mal, y te voy a lavar la boca con jabón."
"- What do you mean ""they want the cheque""? The cheque you said they would never know about?",¿El cheque del que nunca se iban a enterar?
"You know I should fire your ass right now, except it would be admitting liability.","Sabes que debería despedirte ahora mismo, excepto que sería admitir responsabilidad."
Participate in planning care and treatment or changes in care or treatment unless adjudged incompetent or otherwise found to be incapacitated under State law.,"Participar en la planificación de cuidado y tratamiento y en cualquier cambio en el cuidado o tratamiento, a menos que sea declarado incompetente, o discapacitado bajo ley Estatal."
You dare to lecture Lung?,Te atrevea a sermonear a Lung?
"Look, I am not badmouthing you.","Oye, no le hablo mal de ti."
"And you can choose how things will be from that day on. Either you take the new route, or you don't.","Y es muy Importante porque puedes elegir por dónde va a seguir todo, sI por ese camino que es nuevo o no."
"You know, I really don't think that's...","Sabe, no creo que sea..."
"The keyboard can be moved with the arrow keys, A, D, and you can hit the space bar.","El teclado se puede mover con las teclas de flecha, A, D, y se puede pulsar la barra espaciadora."
"/ Decision 7, para.","Decisión 7, párr."
"You really like this work,",Realmente te gusta este trabajo.
I knew he was coming here.,Sabía que venía para acá.
He doesn't have a private bone in his body.,No tiene un solo hueso privado en su cuerpo.
"If you don't know how to do it, don't do it.","Si no sabes hacerlo, no lo hagas."
- ... he'll be able to read my mind?,Leer. Controlar.
"You know what I think, when she got a lead on Nazir, first one in over seven years, wasn't it worth mentioning this strong string?","Ya sabes lo que pienso, cuando consiguió una pista con Nazir la primera en siete años, ¿no valía la pena ni mencionar esta pista sólida?"
Come home right away,Luego vuelve directamente a casa.
"He told me that, you know, it would watch over me on the road.","Me dijo que, ya sabes, cuidaría de mí en la carretera."
Why don't we take our glasses... and go to our rooms?,¿Por qué no agarramos nuestros vasos... y vamos a nuestros compartimentos?
"- I know, but I can run down and use Quimby's.","- Lo sé, pero puedo usar el de Quimby."
And you're gonna beat me in your mummy's limo?,¿Me ganarás con eso?
"Reports of States parties should include information on the adoption, or lack thereof, of temporary special measures in accordance with article 4, paragraph 1, of the Convention, and States parties should preferably adhere to the terminology “temporary special measures”, to avoid confusion.",En los informes de los Estados partes deberá figurar información sobre la adopción o no de medidas especiales de carácter temporal en virtud del párrafo 1 del artículo 4 de la Convención y los Estados partes deberán preferiblemente utilizar la expresión “medidas especiales de carácter temporal” a fin de evitar confusión.
"It""s a pleasure doing business with you.","Es un placer hacer negocios contigo, Barb."
"Mr Posselt, the House knows, because you have repeated it many times, that your card has been the target of wrongful removal.","Señor Posselt, sabemos en esta Asamblea, porque lo ha repetido usted varias veces, que ha sido objeto de una sustracción indebida."
- Would he?,¿Lo haría?
He's left the door open.,Ha dejado la puerta abierta.
"Until recently, the Government of Sweden has decided against establishing such a partnership.","Hasta hace poco, el Gobierno de Suécia se había pronunciado en contra de establecer una asociación."
"You know, all sentient beings deserve to die surrounded by love.","Ya sabes, todos los seres vivos merecen morir rodeados de amor."
- 3 meter cord.,- 3 metros cable de alimentación.
The son would live where the mother would live.,El hijo viviría donde viviría la madre.
Develop a third phase with another group of entrepreneurs with the help of business consultants.,"Desarrollar una tercera fase con otro grupo de emprendedores, mediante asesorías empresariales."
"Actually, it's Ambrose.","En realidad, es Ambrose."
_BAR_ Article 2 3 3 — Total _BAR_ 30000 _BAR_ _BAR_ _BAR_,_BAR_ Total del artículo 2 3 3 _BAR_ 30000 _BAR_ _BAR_ _BAR_
Date reviewed: March 2011 previous,Fecha de revisión: marzo de 2011
» Azuaje pide apoyo al Secretario General de la OEA (El Universal),» Azuaje pide apoyo al Secretario General de la OEA (El Universal)
"Well, thanks, Kaley.","Gracias, Kaley."
A band This parade was coming down the street,Venía un desfile por la calle.
"Hey, Boss. How is war different from bounty hunting?","Disculpe, jefe. ¿Cuál es la diferencia entre un soldado y un caza recompensas?"
- We see that.,- Eso ya lo veremos.
Princess Isabella: Return of the Curse game is distributed as shareware.,Princesa Isabella: El retorno de la maldición juego se distribuye como shareware.
"OH, YOUR FATHER, HE'S BEEN IN SUCH A FOUL MOOD.",Tu padre ha estado de pésimo humor.
Deliberation brings fulfillment.,"- La deliberación, cumplimiento."
"Agencies: See reply to points 31, 33, 54 and 55.","Agencias:Véaselarespuestaalosapartados 31, 33, 54 y 55."
"- Jesus, if looks could kill...",- Si las miradas mataran...
"We're going, one, two, three, down Herd! Oof!","¡Vamos en uno, dos, tres, abajo Herd! ¡Dios!"
We'll bring her in.,La traeremos.
I hear you ruined your mistress's garden,He oído que has destrozado el jardín de tu dueña.
> 15.1 No data,No hay datos
"I was only 10, which is...","Y solo tenía 10 años, o sea..."
"Well, I found this when I was doing some research... and I discovered that Cook' s Chicken... used to be called Coon Chicken.","""Pollo Cook' s"" solía Ilamarse ""Pollo Coon""."
"And if anyone asks, this is your savings account.","Y si alguien pregunta, esta es su cuenta de ahorros."
"The UNFPA strategic plan, 2008-2011, which the Executive Board approved in decision 2007/40, provides the overall framework in which UNFPA will support programme countries in achieving national outcomes in the context of the ICPD; the national outcomes will, in turn, contribute to attaining the Millennium Development Goals.","El plan estratégico del UNFPA para 2008-2011, aprobado por la Junta Ejecutiva en su decisión 2007/40, suministra el marco general de apoyo del UNFPA a los países en que se ejecutan programas para que alcancen los resultados nacionales en el contexto de la CIPD; a su vez, los resultados nacionales contribuirán al logro de los objetivos de desarrollo del Milenio."
Read more about An eCall for cars to save lives on roads across Europe Levy on private copying still best option to balance authors’ and consumers’ interests,Lee más El dispositivo de llamada electrónica de los coches salvará vidas en las carreteras de Europa
- She's in my room.,- Está en mi habitación.
To my parents' till I get myself together.,"A la casa de mis padres, hasta que encuentre algo."
- As long as he tells you about it.,- Mientras te lo cuente...
Definitive financial allocations for the 2003/2004 marketing year (2004 financial year),Asignaciones financieras definitivas de la campaña 2003/2004 (ejercicio financiero de 2004)
You ran after me for the water?,"Ah, ¿me has seguido por eso?"
"Well, maybe we can use the surveillance footage to determine the meet location.","Bueno, quizá podamos usar las imágenes de las cámaras para determinar el lugar del encuentro."
“We are now in the process of creating a mass left wing split from the SPD for the first time in three generations.,Ahora estamos en el proceso de provocar una ruptura de izquierda de masas del SPD por primera vez en tres generaciones.
Why else pursue a partnership with a man like Sherlock?,¿Si no por qué seguir con una asociación con un hombre como Sherlock?
Her place is in... – A reform school!,Tendría que estar ¡en un reformatorio!
We're going to France.,Nos vamos a Francia.
Or you want to make it so I don't exist at all?,O si desea hacerlo por lo que no existe en absoluto?
- Someone's smoking in here.,- Alguien está fumando.
"This way, it will be made a comprehensive evaluation about the possibilities of reuse of the new generated materials or its potential management in industrial waste landfills, enabling to design the more suitable strategy for the future.","De esta forma, se tendrá una evaluación completa de las posibilidades de reutilización de los nuevos materiales generados y de su posible gestión en vertederos de residuos industriales, permitiendo diseñar la estrategia futura más adecuada."
You can win all the contests.,Puedes ganar todos los concursos.
Will the welfare state decrease or increase?,¿Crecerá o disminuirá el Estado de Bienestar?
I hope you enjoyed your flight.,Espero que hayan disfrutado del vuelo.
Ruslan Yordanov is a journalist and columnist for the daily newspaper Standart and specialises on social affairs issues.,"Periodista y cronista para el diario Standart, Ruslan Yordanov está especializado en cuestiones de sociedad."
10/01/2008:,28/02/2008:
- What's that contraption?,- ¿Qué es ese artilugio?
But is that enough to take a leap and risk screwing up our friendship? I don't know.,Pero es suficiente para dar el salto y arriesgar nuestra amistad?
"Sánchez was released by the Yankees on April 25, 2009, but re-signed a minor league deal with the organization on May 5.","Sánchez fue liberado por los Yankees el 25 de abril de 2009, pero declinó a un contrato de ligas menores con la organización el 5 de mayo."
I want you to question the butler again.,"Estás ahí. Cuando acabes, habla de nuevo con el criado."
"Victoria, a word?","-Victoria, puedo hablar contigo?"
The Committee decided to approve the following provisional agenda for the session:,El Comité aprobó el siguiente programa provisional para el período de sesiones:
"Notwithstanding this provision, there have been no changes of note to articles 327 and 328 of the Criminal Code.","A pesar de esta disposición, no hay modificaciones de peso en los artículos 327 y 328 del Código Penal."
- You have to take a number.,- Tienes que tener un número.
"Attention Cinderellas, one and all.","Atención Cenicientas, una y todas."
I just wanted to thank you for the rose.,Sólo quería... darte las gracias por la rosa.
"- Happy Thanksgiving, Brenda. - Happy Thanksgiving",- Feliz día de Acción de Gracias.
"You're a baseball player, huh?","Conque beisbolista, ¿no?"
"Our house is a large lawn with table tennis table, which is often used in summer by our guests.","Nuestra casa es un gran jardín con mesa de ping pong, que se utiliza a menudo en verano por nuestros clientes."
"Plus, the other girl took her boyfriend.","¿Además, no es la otra la villana? Le quitó a su novio."
It called on Council members to take measures that were sometimes not very spectacular in themselves but were important overall.,"Hizo un llamamiento a los miembros del Consejo a adoptar medidas que a veces no eran muy espectaculares en sí mismas, pero que eran importantes en general."
He was national director of Adult Education at the Ministry of Education from 2004-2007 and worked for UNESCO from 2008 to 2011 where he was focal point for CONFINTEA VI.,"Entre 2004 y 2007 ocupó el cargo de Director Nacional de Educación de Adultos en el Ministerio de Educación, y entre 2008 y 2011 trabajó para la UNESCO como coordinador de la CONFINTEA VI."
"Hey, torres.","Oye, Torres."
Mindy... are you pregnant?,Mindy... ¿estás embarazada?
But I guess I showed myself.,Pero supongo que me callé la boca a mi mismo.
"Me, you, and Stacy.","Yo, tú y Stacy."
Competing for public procurement is also absurd from the point of view of staff.,Poner a competir entre sí a los contratos públicos resulta igualmente absurdo desde el punto de vista del personal.
Build rapport with clients and vendors and maintain strong working relationships,Lograr buena comunicación con clientes y proveedores y mantener fuertes relaciones de trabajo
"Sorry, Princess.","Disculpa, Princesa."
"When he saw her, he stripped off. - He followed her with his dick out.","En cuanto la vio, se desnudó y con todo su asunto fuera empezó a perseguirla."
Tell your husband that Henriette needs the ocean air.,Diga a su marido que Henriette necesita el aire del océano.
Why don't you fly back to Washington?,¿Por qué no regresan a Washington?
"The Chief Prosecutor also formally recommended that PrimeMinister Recep Erdogan, President Abdullah Gul, and 69 otherleading politicians be banned from politics five years.","El fiscal principal también recomendó formalmente que elPrimer Ministro Recep Erdogan, el Presidente Abdullah Gul y 69políticos más fueran inhabilitados de la política durante cincoaños."
"These are that the search or surveillance operation be authorized in advance by an independent judicial officer who, where appropriate, may set limits on what may be done and how it may be done.","Entre esos requisitos destaca la obligación de disponer de una autorización previa para realizar operaciones de registro o confiscación, que será concedida por un funcionario judicial independiente que, cuando proceda, podrá limitar su alcance y disponer el modo en que habrán de realizarse."
I made the plans with Brooke before I met Zelda.,Hice los planes con Brooke antes de conocer a Zelda.
That's a major option.,Es una opción muy importante.
"Islamic Republic of Iran, p. 24 (“[o]nly individuals whom the United States recognizes as legitimate heads of state qualify” for head of State immunity) or United States, Jungquist v. Sheikh Sultan Al Nahyan, p. 531 (“Head of State immunity … extends only to the person the United States government acknowledges as the official head-of-State.","Véase, por ejemplo, Flatow v. Islamic Republic of Iran, pág. 24 (“sólo las personas a quienes los Estados Unidos reconocen como legítimos jefes de Estado reúnen las condiciones necesarias” para la inmunidad de jefe de Estado) o Estados Unidos, Jungquist v. Sheikh Sultan Al Nahyan, International Law Reports, vol. 113, pág. 531 (“La inmunidad de jefe de Estado… sólo comprende a la persona a la cual el Gobierno de los Estados Unidos reconoce como jefe de Estado oficial."
"The validity of the anti-rabies vaccination and, if relevant, of the revaccination shall be recognised in accordance with the recommendations of the laboratory of manufacture and pursuant to Article 5 of Regulation (EC) No 998/2003 and Commission Decision 2005/91/EC of 2 February 2005 establishing the period after which the anti-rabies vaccination is considered as valid [2].","La validez de una vacunación antirrábica o, en su caso, de una revacunación, se establece con arreglo a las recomendaciones del laboratorio de fabricación y de acuerdo con lo dispuesto en el artículo 5 del Reglamento (CE) no 998/2003 y en la Decisión 2005/91/CE de la Comisión, de 2 de febrero de 2005, por la que se establece el periodo tras el cual se considera válida la vacunación antirrábica [2]."
"Sweet Kin-san! ,",¡Mi dulce Kin-san!
I know.,"Sí, lo sé"
We have to go to sleep?,¿ Irnos a dormir?
"Well, when I say strange, I mean different...","Pues, quien dice raro, pues, diferente."
NEW DELHI – The fallout from the terror attacks in Mumbai last week has already shaken India.,NUEVA DELHI – Las consecuencias de los ataques terroristas de la semana pasada en Mumbai ya han sacudido a la India.
"(be it of patterns, texts or images) on different materials","(ya sea estampado de ornamentos, imprenta de textos, o de imágenes),"
-I've gotta go.,-Debo irme.
"To one of the “seers” on the 18th of March every year, but along with this she will also receive an “apparition” on the 2nd of each month, with “messages” which you can expect, according to the established procedures;","A uno de los “videntes” el 18 de marzo de cada año, pero además también recibirá una “aparición” el 2 de cada mes, con “mensajes” que uno puede anticipar, de acuerdo con el procedimiento establecido;"
She could still be his wife.,Aún podía ser su mujer.
# How can I tell him the truth...,¿Cómo puedo decirle la verdad...?
You know what? That was just a fluke.,Eso fue casualidad.
"(c) Provide access to all relevant equipment, facilities and personnel on vessels and installations at all reasonable times;","c) Darán en todo momento acceso razonable al equipo, las instalaciones y el personal que correspondan y se encuentren en las naves e instalaciones;"
"where appropriate, evidence for bioequivalence shall be provided either by specification, or by published literature or from specific studies. Where bioequivalence is not fully demonstrated, conformity of the withdrawal period with the MRL has to be demonstrated;","cuando proceda, deberán aportarse pruebas de bioequivalencia, ya sea mediante una especificación, ya mediante bibliografía publicada, o bien extrayéndolas de estudios específicos; si no se demuestra plenamente la bioequivalencia, deberá demostrarse la conformidad del tiempo de espera con el LMR;"
"In regard to the latter issue, the Secretariat had sought clarification as to whether Somalia's legislature had by that time taken the steps necessary to permit the introduction of a previously proposed ban on the import of halon-dependent equipment and an interim quota system and the establishment of a system for licensing the import and export of ozone-depleting substances.","En relación con esta última cuestión, la Secretaría había procurado que se le aclarara si la asamblea legislativa de Somalia había adoptado para entonces las medidas necesarias que permitieran imponer la prohibición previamente propuesta a la importación de equipo que utiliza halones y un sistema provisional de cupos y el establecimiento de un sistema de concesión de licencias de importación y exportación de sustancias que agotan el ozono."
"Carmen, please starch the baby's Christmas gown.","Carmen, por favor acicala la vestimenta de Navidad del bebe."
It's worse if you're ugly!,¡Es peor si eres feo!
And Allah is the Knower of he wrong-doers.,Alá conoce bien a los impíos.
"Increased competition, in itself, is unlikely to help much in this respect.",Es im probable que el aumento de la competencia sirva de mucho por sí solo en este sentido.
"Our special thanks go to the Fundación Cultura de Paz for their commendable work in compiling a report on the progress achieved by over 700 organizations from over 100 countries, including my own.","Agradecemos especialmente a la Fundación Cultura de Paz por su notable trabajo de compilación de este informe sobre el progreso, realizado por más de 700 organizaciones de más de 100 países, incluyendo el nuestro."
I'll get you anything you want from Paris.,Te traeré lo que quieras de París.
He was on the other.,Estaba del otro lado.
And how are we going to find that?,¿Y cómo vamos a encontrarlo?
You should now understand our difficulty,Debe entender nuestra dificultad actual
- You know Danny Concanon? - Yeah.,¿Conoces a Danny Concanon?
